Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
4,5,8,0,0,50,4,caught,2,v Australia,Brisbane,11/21/18,Australia,T20I,No
TDNB,0,-,-,-,-,-,-,-,v Australia,Melbourne,11/23/18,Australia,T20I,No
61*,25,41,4,2,148.78,3,not out,2,v Australia,Sydney,11/25/18,Australia,T20I,Yes
24,25,17,3,0,141.17,3,caught,1,v Australia,Visakhapatnam,2/24/19,India,T20I,No
72*,63,38,2,6,189.47,3,not out,1,v Australia,Bengaluru,2/27/19,India,T20I,Yes
19,45,29,1,0,65.51,3,caught,2,v West Indies,Lauderhill,3/8/19,USA,T20I,No
28,56,23,1,1,121.73,3,bowled,1,v West Indies,Lauderhill,4/8/19,USA,T20I,No
59,67,45,6,0,131.11,3,caught,2,v West Indies,Providence,6/8/19,West Indies,T20I,Yes
72*,66,52,4,3,138.46,3,not out,2,v South Africa,Mohali,9/18/19,India,T20I,Yes
9,28,15,0,0,60,3,caught,1,v South Africa,Bengaluru,9/22/19,India,T20I,No
94*,89,50,6,6,188,3,not out,2,v West Indies,Hyderabad (Deccan),6/12/19,India,T20I,Yes
19,10,17,2,0,111.76,4,caught,1,v West Indies,Thiruvananthapuram,8/12/19,India,T20I,No
70*,-,29,4,7,241.37,4,not out,1,v West Indies,Wankhede,11/12/19,India,T20I,Yes
TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Guwahati,5/1/20,India,T20I,No
30*,67,17,1,2,176.47,4,not out,2,v Sri Lanka,Indore,7/1/20,India,T20I,No
26,34,17,2,1,152.94,6,run out,1,v Sri Lanka,Pune,10/1/20,India,T20I,No
45,58,32,3,1,140.62,3,caught,2,v New Zealand,Auckland,1/24/20,New Zealand,T20I,No
11,21,12,1,0,91.66,3,caught,2,v New Zealand,Auckland,1/26/20,New Zealand,T20I,No
38,31,27,2,1,140.74,4,caught,1,v New Zealand,Hamilton,1/29/20,New Zealand,T20I,No
11,16,9,2,0,122.22,3,caught,1,v New Zealand,Wellington,1/31/20,New Zealand,T20I,No
9,,9,1,0,100,3,caught,1,v Australia,Canberra,4/12/20,Australia,T20I,No
40,90,24,2,2,166.66,3,caught,2,v Australia,Sydney,6/12/20,Australia,T20I,No
85,88,61,4,3,139.34,3,caught,2,v Australia,Sydney,8/12/20,Australia,T20I,Yes
0,6,5,0,0,0,3,caught,1,v England,Ahmedabad,12/3/21,India,T20I,No
73*,85,49,5,3,148.97,3,not out,2,v England,Ahmedabad,3/14/21,India,T20I,Yes
77*,80,46,8,4,167.39,4,not out,1,v England,Ahmedabad,3/16/21,India,T20I,Yes
1,3,5,0,0,20,4,stumped,1,v England,Ahmedabad,3/18/21,India,T20I,No
80*,103,52,7,2,153.84,2,not out,1,v England,Ahmedabad,3/20/21,India,T20I,Yes
57,94,49,5,1,116.32,3,caught,1,v Pakistan,Dubai (DSC),10/24/21,UAE,T20I,Yes
9,20,17,0,0,52.94,4,caught,1,v New Zealand,Dubai (DSC),10/31/21,UAE,T20I,No
DNB,-,-,-,-,-,-,-,1,v Afghanistan,Abu Dhabi,3/11/21,UAE,T20I,No
2*,7,2,0,0,100,3,not out,2,v Scotland,Dubai (DSC),5/11/21,UAE,T20I,No
DNB,-,-,-,-,-,-,-,2,v Namibia,Dubai (DSC),8/11/21,UAE,T20I,No
17,25,13,1,0,130.76,3,caught,2,v West Indies,Eden Gardens,2/16/22,India,T20I,No
52,57,41,7,1,126.82,3,bowled,1,v West Indies,Eden Gardens,2/18/22,India,T20I,Yes
1,8,3,0,0,33.33,3,caught,1,v England,Birmingham,9/7/22,England,T20I,No
11,8,6,1,1,183.33,3,caught,2,v England,Nottingham,10/7/22,England,T20I,No
35,47,34,3,1,102.94,3,caught,2,v Pakistan,Dubai (DSC),8/28/22,UAE,T20I,No
59*,74,44,1,3,134.09,3,not out,1,v Hong Kong,Dubai (DSC),8/31/22,UAE,T20I,Yes
